code,organization,grade,date,title,type
300700,国信证券,增持,2018-5-22,非金属建材周报（18年第20周）：近期重点推荐中国巨石、旗滨集团,行业研报
300700,中泰证券,增持,2018-5-21,"建筑材料行业周报：""淡季""或不淡，低库存下价格有支撑",行业研报
300700,国信证券,增持,2018-5-16,建材行业5月投资策略：连雨不知春去，一晴方觉夏深,行业研报
603773,中信建投,买入,2018-6-27,电子行业动态：5G终端2019年有望预商用；半导体设备5月出货创新高,行业研报
603773,中银国际,增持,2018-6-27,半导体清洗设备行业深度：国际半导体清洗设备新星——盛美半导体的成长之路,行业研报
603773,万联证券,增持,2018-6-27,电子行业周报：利空释放，可逢低优选个股,行业研报
603773,财通证券,增持,2018-6-27,电子行业周报：贸易战致市场整体低迷，电子板块静候反攻,行业研报
603773,财通证券,增持,2018-6-27,"2018年电子行业中期策略：唯有""芯""动不已",行业研报
603773,长江证券,持有,2018-6-27,电子设备、仪器和元件行业周报：看好电子板块三季度边际改善与科技硬实力的长期配置价值,行业研报
603773,申万宏源,持有,2018-6-27,电子行业2018中报前瞻点评,行业研报
603773,信达证券,Null,2018-6-26,卓越推：电子行业,行业研报
603773,东北证券,持有,2018-6-26,电子：国产手机屡攀创新高峰，智能手机行业继续回暖,行业研报
603773,信达证券,Null,2018-6-26,电子行业周报：三星积极研发下一代工艺在DRAM领域的应用,行业研报
603773,东方财富证券,增持,2018-6-26,LED行业深度研究：小间距到Mini再到Micro，产业链迎来新机遇,行业研报
603773,华融证券,持有,2018-6-26,电子元器件行业周报：被动元器件涨价潮继续,行业研报
603773,国金证券,买入,2018-6-26,电子行业周报：精选被错杀龙头，从各种缺货涨价看汽车电子应用加速机会,行业研报
603773,中国银河,买入,2018-6-26,电子行业周报：情绪降至冰点板块大幅调整 中长期配置绝佳机会显现,行业研报
603773,华创证券,持有,2018-6-26,"光伏设备行业深度研究报告：""光伏平价上网成长之路""之系列报告一：光伏行业发展回顾及展望",行业研报
603773,信达证券,持有,2018-6-26,电子行业2018年中期投资策略：半导体存在替代机遇，光学元件可获稳定增长,行业研报
603773,川财证券,Null,2018-6-26,TMT行业日报:台积电将投资250亿美元研发5NM制程工艺,行业研报
603773,东吴证券,增持,2018-6-25,电子：为什么我们坚定看好消费电子,行业研报
603773,平安证券,持有,2018-6-25,电子行业半年度策略报告：乘国产之浪潮，驭成长之东风,行业研报
603773,光大证券,买入,2018-6-25,激光行业专题报告：激光制造时代来临，中国激光产业迎来黄金十年,行业研报
603773,方正证券,持有,2018-6-25,电子行业周报：贸易战不确定性逐渐落地，布局下半年电子机遇,行业研报
603773,国盛证券,增持,2018-6-25,电子行业周报：8寸晶圆普遍涨价，景气度持续高涨,行业研报
603773,光大证券,买入,2018-6-25,电子行业周报：贸易摩擦下精选高壁垒消费电子龙头；功率半导体驱动八寸晶圆持续景气,行业研报
603773,申万宏源,中性,2018-6-25,电子行业周报：贸易摩擦乌云密布，遮掩苹果备货光芒；年内旺季提前来临，惟信心暂处低迷状态,行业研报
603773,川财证券,Null,2018-6-22,TMT行业日报：T-Mobile和Sprint将投资400亿建设5G,行业研报
603897,长江证券,持有,2018-6-21,金属非金属行业周报：再看稀土，重视环保因素,行业研报
603897,天风证券,增持,2018-5-21,小金属行业周报：关注环保督查对金属价格的影响,行业研报
603897,长江证券,持有,2018-5-15,金属非金属行业周报：需求之光，三元之火，再燃钴锂,行业研报
603897,太平洋,Null,2018-5-11,工业金属2018年度中期投资展望：加速赶顶的宏观面与依旧坚挺的基本面,行业研报
603897,长江证券,持有,2018-5-9,金属非金属行业：喧嚣过后，只待钴锂实际需求回归,行业研报
603897,长江证券,持有,2018-5-9,金属非金属行业：2017年及2018一季度综述：有色板块盈利边际改善，钴锂短期整固蓄力,行业研报
603897,长江证券,持有,2018-5-4,金属非金属行业周报：积极预期钴、稀土，中期看好黄金,行业研报
603897,方正证券,持有,2018-5-3,工业金属价格锚定系列之一：回归后的铜市何去何从,行业研报
603897,天风证券,增持,2018-5-3,小金属周报：嘉能可核心钴矿被司法冻结，MB钴价有望继续上行,行业研报
603897,天风证券,增持,2018-5-2,"稀有金属：钼：""中国制造2025""有望重塑钼消费格局",行业研报
603897,长江证券,持有,2018-4-24,金属非金属行业：Metal Bulletin参会思考：从库存周期的维度分析锂钴镍,行业研报
603897,长江证券,持有,2018-4-24,金属非金属行业周报：积极预期钴、稀土、黄金，短期看好铝,行业研报
603897,申万宏源,中性,2018-4-2,休闲服务行业周报：酒店业绩高增长验证，市场仍需关注一季度业绩预期,行业研报
603897,天风证券,增持,2018-2-28,稀有金属行业深度研究：钴：站在新能源汽车的大风口,行业研报
603897,长江证券,持有,2018-1-29,金属非金属行业周报：基本金属逻辑强化，周内LME期镍上涨7.5%、期锡上涨5.2%,行业研报
603897,天风证券,增持,2018-1-29,稀有金属：小金属周报：钴、钼系价格继续上涨,行业研报
603897,长江证券,持有,2018-1-29,金属非金属行业：锂资源观察十五：SQM与CORFO达成协议，属于谁的胜利？,行业研报
603897,太平洋,持有,2017-12-26,金属、非金属与采矿行业周报：年末流动性承压，工业金属短期或有调整,行业研报
603897,天风证券,增持,2017-12-12,稀有金属：小金属周报：锆英砂创5年新高，镁锭大幅上涨,行业研报
603897,国金证券,买入,2017-10-23,非金属类建材行业研究周报：玻璃水泥四季度仍存结构性行情，中长线配置白马龙头,行业研报
603897,天风证券,增持,2017-8-24,工业金属：环保风暴万不可低估，对电解铝影响几何,行业研报
603897,长江证券,持有,2017-8-14,金属非金属行业：长沙正极材料峰会归来，产业关心什么？怎么看锂钴镍锰价格？,行业研报
603897,光大证券,买入,2017-8-9,手机外壳子行业：金属机壳市场仍大有可为，布局多元化工艺享ASP提升,行业研报
603897,天风证券,增持,2017-6-21,金属非金属新材料行业深度研究：石墨烯——新材料王者，静候下游杀手级应用,行业研报
603897,长江证券,持有,2017-6-15,金属非金属行业：从海关数据看供需：碳酸锂进口均价再创高点，氢氧化锂出口量大增,行业研报
603301,长江证券,持有,2018-6-20,医药周度观点（W24）：医药产品被大幅剔除出美国对华征税目录,行业研报
603301,长江证券,持有,2018-6-11,医药周度观点（18W23）：政策回暖，互联网医疗再次起航,行业研报
603301,长江证券,持有,2018-6-5,医药周度观点（18W22）：强者恒强逻辑下的医药板块估值探讨,行业研报
603301,东北证券,持有,2018-6-1,医疗IT行业动态报告：医保局正式挂牌，多领域迎来发展新机遇,行业研报
603301,中信建投,买入,2018-5-29,医疗器械Ⅱ行业简评：医疗器械注册人制度改革步伐加快，有利于推动行业创新，优化资源配置,行业研报
603301,天风证券,增持,2018-5-22,医疗器械行业深度研究：基层+科室+五大中心，POCT长逻辑产品井喷放量,行业研报
603301,中信建投,买入,2018-5-10,医疗器械Ⅱ：器械创新审评提速，行业迎来政策红利,行业研报
603301,东北证券,持有,2018-5-10,平安好医生：互医独角兽强势崛起，广阔天地任遨游,行业研报
603301,申万宏源,Null,2018-5-8,医疗信息化深度研究之一：2018政策利好频出与行业优化,行业研报
603301,普华永道,Null,2018-5-7,中国医疗器械行业：2017年企业并购回顾,行业研报
603301,国金证券,Null,2018-5-7,国金医药2018中期策略报告（医疗篇）：政策推动、需求旺盛，新医疗方兴未艾,行业研报
603301,德勤,Null,2018-4-23,医疗：2018年全球医疗行业展望：智慧医疗的变革,行业研报
603301,天风证券,增持,2018-4-23,中小市值行业研究周报：数字健康，医疗新政促发展,行业研报
603301,中泰证券,增持,2018-4-23,医药生物行业周报：在整体市场调整中建议积极关注医药板块的优质公司,行业研报
603301,中国银河,Null,2018-4-23,医药生物行业周报：主动型公募一季度末医药持仓比重提升,行业研报
603301,长江证券,持有,2018-4-23,医药周度观点（18W16）：公募基金一季度医药仓位继续提升,行业研报
603301,川财证券,Null,2018-4-20,电力环保行业日报：国家发改委推动降低一般工商业电价,行业研报
603301,中国银河国际证券,Null,2018-4-12,医药行业更新报告-普药为行业的新增长引擎,行业研报
603301,德勤,Null,2018-4-2,2018年全球医疗行业展望：智慧医疗的变革,行业研报
603301,西南证券,持有,2018-3-29,动物保健行业专题报告：动保市场显峥嵘，龙头新贵齐争艳,行业研报
603301,易观国际,Null,2018-3-27,中国互联网家庭健康管理白皮书2018,行业研报
603301,国联证券,持有,2018-2-23,医疗美容行业主题投资报告,行业研报
603301,长江证券,持有,2018-1-29,医药周度观点（18W04）：公募基金四季度医药仓位提升显著,行业研报
603301,普华永道,Null,2018-1-29,医疗服务行业常见会计问题系列探讨（系列五）：投融资交易中的对赌协议,行业研报
603301,天风证券,增持,2018-1-25,医疗器械行业专题研究：肿瘤液体活检迎来新纪元，伴随诊断成亮点,行业研报
